,s3ic_id,rubrique,regime,alinea,date_autorisation,state,regime_acte,alinea_acte,rubrique_acte,activite,volume,unit
5380,0065.06277,3260,A,,,En fonctionnement,A,,3260,Traitement de surface,81.000,m3
5381,0065.06277,4510,D,2,1814-11-23,En fonctionnement,D,3,1220,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
5382,0065.06277,1111,A,2b,1997-05-29,En fonctionnement,A,2b,1111,Très toxiques (emploi ou stockage),7.500,t
5383,0065.06277,2950,D,1b,1998-10-08,En fonctionnement,D,1b,2950,Traitement et développement des surfaces photosensibles,0.000,m2
5384,0065.06277,2565,E,a,1997-05-29,En fonctionnement,A,a,2565,Traitement de surface,81000.000,l
5385,0065.06277,2915,,,1998-10-08,En fonctionnement,,,83,Procédés de chauffage,0.000,L
5386,0065.06277,2567,A,a,1997-05-29,En fonctionnement,A,,2567,Supérieur à 1000 l,0.000,
5387,0065.06282,3110,A,,,En fonctionnement,A,,3110,Combustion,718.000,MW
5388,0065.06282,2925,D,1,1992-07-02,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,50.000,kW
5389,0065.06284,2524,D,,1991-07-25,En fonctionnement,D,,2524,"Taillage, sciage et polissage de minéraux naturels ou artificiels",0.000,kW
5390,0065.06284,4110,D,b,2015-08-28,En fonctionnement,D,b,4110,Toxicité aiguë catégorie 1,,
5391,0065.06284,2940,D,b,1991-07-25,En fonctionnement,D,2b,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",36.000,kg/j
5392,0065.06284,2915,D,b,1991-07-25,En fonctionnement,D,1b,2915,Chauffage (procédé de) fluide caloporteur organique combustible,800.000,L
5393,0065.06284,4130,D,b,2015-08-28,En fonctionnement,D,b,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
5394,0065.06284,1450,D,2,2015-08-28,En fonctionnement,D,2,1450,Solides inflammables,200.000,kg
5395,0065.06284,2515,D,b,2015-08-28,En fonctionnement,D,2b,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",58.700,kW
5396,0065.06284,2560,D,2,1997-07-25,En fonctionnement,D,2,2560,"Supérieure à 150 kW, mais inférieure ou égale à 1 000 kW",485.000,kW
5397,0065.06284,1521,D,2,1991-07-25,En fonctionnement,D,2,1521,"Goudron, asphalte,etc (traitement ou emploi)",9.000,t
5398,0065.06284,2564,,,1991-07-25,En fonctionnement,,,2564,"Nettoyage, dégraissage, décapage de surfaces utilisant des liquides organohalogénés ou des solvants organiques",0.000,
5399,0065.06284,4801,D,2,2015-08-28,En fonctionnement,D,2,4801,"Houille, coke, lignite, charbon de bois, goudron, asphalte, brais et matières bitumineuses",,
5400,0065.06284,47xx,,,,En fonctionnement,,,47xx,,,
5401,0065.06284,2575,D,,1991-07-25,En fonctionnement,D,,2575,Emploi de matières abrasives,107.500,kW
5402,0065.06284,2565,D,3,1991-07-25,En fonctionnement,D,3,2565,Traitement de surface en phase gazeuse,12.000,
5404,0065.06284,2921,E,a,2014-03-26,En fonctionnement,E,a,2921,La puissance thermique évacuée maximale étant supérieure ou égale à 3000 kW,3226.000,kW
5405,0065.06284,2564,D,b,2013-04-15,En fonctionnement,D,3,2564,"Supérieur à 20 l, mais inférieur ou égal à 1500 l ",150.000,L
5406,0065.06284,3680,A,,,En fonctionnement,A,,3680,Fabrication de carbone,692.000,
5407,0065.06284,3420,A,e,,En fonctionnement,A,e,3420,"non-métaux, oxydes métalliques ou autres composés inorganiques",1.980,
5408,0065.06284,2561,D,,1991-07-25,En fonctionnement,D,,2561,"Trempé recuit, revenu des métaux et alliages",785.000,
5409,0065.06284,2524,D,,2013-04-15,En fonctionnement,D,,2524,"Taillage, sciage et polissage de minéraux naturels ou artificiels",1466.000,kW
5410,0065.06284,2552,,,1991-07-25,En fonctionnement,,,2552,Fonderie de métaux et alliages non-ferreux,0.040,t/j
5411,0065.06284,1131,,,1991-07-25,En fonctionnement,,,1131,Toxiques (emploi ou stockage),0.000,
5412,0065.06284,2910,D,2,1991-07-25,En fonctionnement,D,A2,2910,Combustion,9.200,MW
5413,0065.06287,47xx,,,,En fonctionnement,,,47xx,,,
5414,0065.06287,1434,A,2,1995-10-03,En fonctionnement,A,2,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,3600.000,
5416,0065.06287,4511,,,1995-10-03,En fonctionnement,,,4511,Dangereux pour l’environnement aquatique 2,,
5417,0065.06288,1434,A,2,1995-10-11,En fonctionnement,A,2,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,8.000,
5418,0065.06288,4511,D,2,2015-06-01,En fonctionnement,D,2,4511,Dangereux pour l'environnement aquatique de catégorie chronique 2,,
5419,0065.06288,4510,,,2015-06-01,En fonctionnement,,,4510,Dangereux pour l’environnement aquatique 1,,
5420,0065.06288,47xx,,,,En fonctionnement,,,47xx,,,
5422,0065.06289,1432,A,a,1998-05-07,En fonctionnement,A,2a,1432,Liquides inflammables (stockage),0.000,m3
5423,0065.06289,1434,A,2,1998-05-07,En fonctionnement,A,2,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,60.000,t
5424,0065.06289,2915,E,a,2014-09-15,En fonctionnement,A,1a,2915,Chauffage (procédé de) fluide caloporteur organique combustible,2500.000,L
5425,0065.06289,47xx,,,,En fonctionnement,,,47xx,,,
5426,0065.06289,1185,,2,,En fonctionnement,,2,4802,,,
5427,0065.06290,2565,E,a,2004-11-03,En fonctionnement,A,2a,2565,Traitement de surface,37800.000,L
5428,0065.06290,2567,A,a,1987-12-17,En fonctionnement,A,,2567,Supérieur à 1000 l,0.000,
5429,0065.06290,1111,D,1c,1814-11-23,En fonctionnement,D,1c,1111,Très toxiques (emploi ou stockage),0.000,t
5430,0065.06290,1131,D,2c,1814-11-23,En fonctionnement,D,2c,1131,Toxiques (emploi ou stockage),0.000,t
5431,0065.06290,2575,D,,1987-12-17,En fonctionnement,D,,2575,Emploi de matières abrasives,0.000,kW
5432,0065.06290,3260,A,,,En fonctionnement,A,,3260,Traitement de surface,37.800,m3
5433,0065.06294,4510,D,2,2015-07-31,En fonctionnement,D,2,4510,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
5434,0065.06294,4510,D,2,1992-11-27,En fonctionnement,A,1b,1171,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
5435,0065.06294,47xx,,,,En fonctionnement,,,47xx,,,
5436,0065.06294,3410,A,e,,En fonctionnement,A,e,3410,hydrocarbures phosphorés,0.000,
5437,0065.06294,4140,,1,2015-07-31,En fonctionnement,,1,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
5439,0065.06294,2915,D,2,1992-11-27,En fonctionnement,D,2,2915,Chauffage (procédé de) fluide caloporteur organique combustible,900.000,L
5440,0065.06294,4110,A,a,2015-07-31,En fonctionnement,A,a,4110,Toxicité aiguë catégorie 1,,
5441,0065.06294,4140,D,b,2015-07-31,En fonctionnement,D,b,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
5442,0065.06294,4120,D,b,2015-07-31,En fonctionnement,D,b,4120,Toxicité aiguë catégorie 2,,
5444,0065.06294,3410,A,b,,En fonctionnement,A,b,3410,hydrocarbures oxygénés,0.000,
5445,0065.06294,1151,D,1c,2013-04-15,En fonctionnement,D,1c,1151,Substances et mélanges particuliers (emploi ou stockage de ou à base de),320.000,kg
5446,0065.06294,1111,A,2b,1992-11-27,En fonctionnement,A,2b,1111,Très toxiques (emploi ou stockage),5.000,t
5447,0065.06294,2910,D,2,1992-11-27,En fonctionnement,D,A2,2910,Combustion,8.000,MW
5448,0065.06294,4511,D,2,2015-07-31,En fonctionnement,D,2,4511,Dangereux pour l'environnement aquatique de catégorie chronique 2,,
5451,0065.06294,4130,A,a,2015-07-31,En fonctionnement,A,a,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
5454,0065.06294,3410,A,c,1992-11-27,En fonctionnement,A,,2620,hydrocarbures sulfurés,5.000,t
5455,0065.06294,2915,D,b,1992-11-17,En fonctionnement,D,1b,2915,Chauffage (procédé de) fluide caloporteur organique combustible,400.000,L
5458,0065.06294,4130,D,b,2015-07-31,En fonctionnement,D,b,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
5459,0065.06294,1130,A,2,1992-11-27,En fonctionnement,A,2,1130,Toxiques (fabrication),5.000,t
5460,0065.06294,1111,A,1b,1992-11-27,En fonctionnement,A,1b,1111,Très toxiques (emploi ou stockage),5.000,t
5462,0065.06294,4610,D,2,2015-07-31,En fonctionnement,D,2,4610,Substances ou mélanges auxquels est attribuée la mention de danger EUH014,,
5464,0065.06294,4620,,,2015-07-31,En fonctionnement,,,4620,"Substances et mélanges qui, au contact de l’eau, dégagent des gaz inflammables, catégorie 1.",,
5465,0065.06294,3410,A,g,,En fonctionnement,A,g,3410,dérivés organométalliques,0.000,
5466,0065.06294,1611,D,2,2013-04-15,En fonctionnement,D,2,1611,"ACIDE ACETIQUE, CHLORHYDRIQUE, FORMIQUE,ETC (EMPLOI OU STOCKAGE)",50.000,t
5467,0065.06294,3410,A,a,,En fonctionnement,A,a,3410,hydrocarbures simples ,0.000,
5469,0065.06294,3410,A,k,,En fonctionnement,A,k,3410,	tensioactifs et agents de surface,0.000,
5476,0065.06294,3410,A,d,,En fonctionnement,A,d,3410,hydrocarbures azotés,0.000,
5477,0065.06294,3410,A,c,1992-11-27,En fonctionnement,A,,2620,hydrocarbures sulfurés,0.000,t
5478,0065.06294,1820,D,3,1992-11-27,En fonctionnement,D,3,1820,"Dégageant gaz toxiques au contact de l'eau(fabrication, emploi ou stockage)",10.000,t
5479,0065.06294,3410,A,f,,En fonctionnement,A,f,3410,hydrocarbures halogénés,0.000,
5481,0065.06294,2921,D,b,2004-12-13,En fonctionnement,D,1b,2921,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,1866.000,kW
5483,0065.06294,4610,D,2,1992-11-27,En fonctionnement,D,3,1810,Substances ou mélanges auxquels est attribuée la mention de danger EUH014,,
5485,0065.06294,2921,D,b,2004-12-13,En fonctionnement,D,1b,2921,La puissance thermique évacuée maximale étant inférieure à 3 000 kW,1850.000,kW
5486,0065.06294,1434,A,2,1992-11-27,En fonctionnement,A,2,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,0.000,
5492,0065.06294,3450,A,,,En fonctionnement,A,,3450,Fabrication de produits pharmaceutiques,45.820,
5493,0065.06294,3410,A,j,,En fonctionnement,A,j,3410,colorants et pigments,0.000,
5496,0065.06294,3410,A,c,,En fonctionnement,A,c,3410,hydrocarbures sulfurés,0.000,
5497,0065.06294,1450,A,1,1992-11-27,En fonctionnement,A,1,1450,Solides inflammables,5.000,t
5498,0065.06294,1432,A,a,1992-11-27,En fonctionnement,A,2a,1432,Liquides inflammables (stockage),358.400,m3
5501,0065.06294,4510,D,2,2013-04-15,En fonctionnement,D,3,1172,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
5504,0065.06294,4331,E,2,2015-07-31,En fonctionnement,E,2,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
5505,0065.06294,4440,D,2,2015-07-31,En fonctionnement,D,2,4440,"Solides comburants catégorie 1,2 ou 3",,
5506,0065.06294,4441,D,2,2015-07-31,En fonctionnement,D,2,4441,"Liquides comburants catégorie 1,2 ou 3",,
5507,0065.06294,1612,D,B3,1992-11-27,En fonctionnement,D,B3,1612,"Acide chlorosulfurique, oléums",5.000,t
5513,0065.06294,4630,D,2,2015-07-31,En fonctionnement,D,2,4630,Substances ou mélanges auxquels est attribuée la mention de danger EUH029,,
5515,0065.06294,1175,A,1,1992-11-27,En fonctionnement,A,1,1175,Organohalogénés (emploi de liquides),50000.000,L
5517,0065.06294,1978,D,20,,En fonctionnement,D,20,1978,Fabrication de produits pharmaceutiques,1000.000,t/an
5518,0065.06294,1433,A,Ba,1992-11-27,En fonctionnement,A,Ba,1433,LIQUIDES INFLAMMABLES (MELANGE OU EMPLOI),55.000,t
5521,0065.06294,1131,A,2b,1992-11-27,En fonctionnement,A,2b,1131,Toxiques (emploi ou stockage),25.000,t
5524,0065.06294,1200,D,2c,1992-11-27,En fonctionnement,D,2c,1200,"Comburants (fabrication, emploi, stockage)",30.000,t
5525,0065.06294,1174,A,,1992-11-27,En fonctionnement,A,,1174,"Organohalogénés, ...phosphorés, ...stanniques (fabrication)",0.000,
5529,0065.06294,1110,A,2,1992-11-27,En fonctionnement,A,2,1110,Très toxiques (fabrication),500.000,kg
5535,0065.06294,1131,D,1c,1992-11-27,En fonctionnement,D,1c,1131,Toxiques (emploi ou stockage),8.000,t
5536,0065.06294,1136,D,A2c,1992-11-27,En fonctionnement,D,A2c,1136,AMMONIAC (EMPLOI OU STOCKAGE),1.500,t
5537,0065.06294,1420,A,2,1992-11-27,En fonctionnement,A,2,1420,Amines inflammables liquéfiées (emploi ou stockage),1.000,t
5538,0065.06294,1141,A,3a,1992-11-27,En fonctionnement,A,3a,1141,CHLORURE D'HYDROGENE ANHYDRE LIQUEFIE (EMPLOI OU STOCKAGE ),3.000,t
5539,0065.06294,1171,A,2b,1992-11-27,En fonctionnement,A,2b,1171,DANGEREUX POUR L'ENVIRONNEMENT A ET/OU B (FABRICATION),20.000,t
5540,0065.06294,1450,A,1,1992-11-27,En fonctionnement,A,2a,1450,Solides inflammables,5.000,t
5542,0065.06294,1111,A,3b,1992-11-27,En fonctionnement,A,3b,1111,Très toxiques (emploi ou stockage),500.000,kg
5543,0065.06294,1136,A,Bb,1992-11-27,En fonctionnement,D,Bc,1136,AMMONIAC (EMPLOI OU STOCKAGE),0.500,t
5545,0065.06294,1131,D,3c,1992-11-27,En fonctionnement,D,3c,1131,Toxiques (emploi ou stockage),0.500,t
5546,0065.06295,3110,A,,,En fonctionnement,A,,3110,Combustion,59.500,MW
5548,0065.06300,2915,D,2,1990-08-01,En fonctionnement,D,2,2915,Chauffage (procédé de) fluide caloporteur organique combustible,435.000,L
5549,0065.06300,2515,E,a,1990-08-01,En fonctionnement,A,1a,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",20000.000,kW
5550,0065.06300,2521,E,1,1814-11-23,En fonctionnement,A,1,2521,Centrale d'enrobage à chaud,0.000,
5551,0065.06301,2517,E,1,2005-03-21,En fonctionnement,A,1,2517,Produits minéraux ou déchets non dangereux inertes (transit),45000.000,m3
5552,0065.06301,2716,D,2,,En fonctionnement,D,2,2716,déchets non dangereux non inertes (transit),950.000,m3
5553,0065.06301,4801,D,2,2015-06-01,En fonctionnement,D,2,4801,"Houille, coke, lignite, charbon de bois, goudron, asphalte, brais et matières bitumineuses",,
5555,0065.06301,2515,E,a,2005-03-21,En fonctionnement,A,1,2515,"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes",1090.000,kW
5556,0065.06301,2521,E,1,2005-03-21,En fonctionnement,A,1,2521,Centrale d'enrobage à chaud,0.000,
5559,0065.06301,2516,D,2,2005-03-21,En fonctionnement,D,2,2516,Produits minéraux pulvérulents non ensachés (transit),0.000,m3
5561,0065.06301,2516,D,2,2005-03-21,En fonctionnement,D,2,2516,Produits minéraux pulvérulents non ensachés (transit),10320.000,m3
5563,0065.06307,1434,,,1814-11-23,En fonctionnement,,,1434,Installations de remplissage ou de distribution de liquides inflammables,0.000,
5564,0065.06307,2518,E,a,2011-07-15,En fonctionnement,E,a,2518,Installation de production de béton prêt à l'emploi,4.000,m3
5565,0065.06311,2518,E,a,2011-07-15,En fonctionnement,E,a,2518,Installation de production de béton prêt à l'emploi,6.000,m3
5566,0065.06313,4511,A,1,2013-03-25,En fonctionnement,A,1,4511,Dangereux pour l'environnement aquatique de catégorie chronique 2,,
5567,0065.06313,4510,D,2,,En fonctionnement,D,2,4510,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
5568,0065.06313,4120,D,b,1988-11-25,En fonctionnement,D,b,4120,Toxicité aiguë catégorie 2,,
5570,0065.06313,1510,E,b,1988-11-25,En fonctionnement,D,2,1510,Entrepot enregistré,7700.000,m3
5571,0065.06313,2910,E,1,1988-11-25,En fonctionnement,A,A1,2910,Combustion,23.000,MW
5572,0065.06314,1434,A,2,1995-06-01,En fonctionnement,A,2,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,120.000,
5573,0065.06314,4511,,,1995-06-01,En fonctionnement,,,4511,Dangereux pour l’environnement aquatique 2,,
5574,0065.06314,47xx,,,,En fonctionnement,,,47xx,,,
5575,0065.06314,4510,,,1995-06-01,En fonctionnement,,,4510,Dangereux pour l’environnement aquatique 1,,
5577,0065.06320,1185,,2,2007-07-11,En fonctionnement,,2,1185,,127.000,kW
5578,0065.06320,47xx,,,,En fonctionnement,,,47xx,,,
5579,0065.06320,2910,E,1,2007-07-11,En fonctionnement,E,1,2910,Combustion,48.800,MW
5580,0065.06325,3110,A,,1997-05-20,En fonctionnement,A,,3110,Combustion,56.000,MW
5581,0065.06327,4510,D,2,2015-09-04,En fonctionnement,D,2,4510,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
5582,0065.06327,3410,A,c,1991-05-28,En fonctionnement,A,,2620,hydrocarbures sulfurés,0.360,
5583,0065.06327,4140,D,b,2015-09-04,En fonctionnement,D,b,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
5584,0065.06327,4441,D,2,2015-09-04,En fonctionnement,D,2,4441,"Liquides comburants catégorie 1,2 ou 3",,
5585,0065.06327,4130,A,a,2015-09-04,En fonctionnement,A,a,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
5586,0065.06327,4511,,,2015-09-04,En fonctionnement,,,4511,Dangereux pour l’environnement aquatique 2,,
5587,0065.06327,47xx,,,,En fonctionnement,,,47xx,,,
5589,0065.06327,4130,,1,2015-09-04,En fonctionnement,,1,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
5593,0065.06327,4620,,,2015-09-04,En fonctionnement,,,4620,"Substances et mélanges qui, au contact de l’eau, dégagent des gaz inflammables, catégorie 1.",,
5595,0065.06327,4630,,,2015-09-04,En fonctionnement,,,4630,Substances ou mélanges auxquels est attribuée la mention de danger EUH029,,
5597,0065.06327,1185,D,,,En fonctionnement,D,,1185,Quantité susceptible d'être présente,486.000,kg
5598,0065.06327,2910,D,2,1991-05-28,En fonctionnement,D,A2,2910,Combustion,16.000,MW
5599,0065.06327,4130,D,b,,En fonctionnement,D,b,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
5600,0065.06327,1450,A,1,2015-09-04,En fonctionnement,A,1,1450,Solides inflammables,1.500,t
5601,0065.06327,4330,D,2,2015-09-04,En fonctionnement,D,2,4330,Liquides inflammables de catégorie 1,,
5605,0065.06327,2921,E,a,2005-06-15,En fonctionnement,E,a,2921,La puissance thermique évacuée maximale étant supérieure ou égale à 3000 kW,16500.000,kW
5606,0065.06327,4120,D,b,2015-09-04,En fonctionnement,D,b,4120,Toxicité aiguë catégorie 2,,
5607,0065.06327,1630,,,2015-09-04,En fonctionnement,,,1630,Emploi ou stockage de lessives de soude ou de potasse caustique,10.000,t
5608,0065.06327,1171,A,2b,1991-05-28,En fonctionnement,A,2b,1171,DANGEREUX POUR L'ENVIRONNEMENT A ET/OU B (FABRICATION),0.000,t
5609,0065.06327,4421,,,2015-09-04,En fonctionnement,,,4421,Peroxydes organiques type C ou type D,,
5612,0065.06327,4120,,2,2015-09-04,En fonctionnement,,2,4120,Toxicité aiguë catégorie 2,,
5614,0065.06327,4510,,,2015-09-04,En fonctionnement,,,4510,Dangereux pour l’environnement aquatique 1,,
5615,0065.06327,3450,A,,2014-03-25,En fonctionnement,A,,3450,Fabrication de produits pharmaceutiques,9.079,
5618,0065.06327,1450,D,2,2015-09-04,En fonctionnement,D,2,1450,Solides inflammables,600.000,kg
5619,0065.06327,4331,E,2,2015-09-04,En fonctionnement,E,2,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
5620,0065.06327,1434,A,a,1991-05-28,En fonctionnement,A,1a,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,30.000,m3/h
5621,0065.06327,4110,D,b,2015-09-04,En fonctionnement,D,b,4110,Toxicité aiguë catégorie 1,,
5623,0065.06327,2910,D,2,1991-05-28,En fonctionnement,D,A2,2910,Combustion,2.350,MW
5627,0065.06327,3450,A,,2014-03-25,En fonctionnement,A,,3450,Fabrication de produits pharmaceutiques,27.000,
5630,0065.06327,1434,D,b,1991-05-28,En fonctionnement,D,b,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,30.000,m3/h
5632,0065.06327,1978,D,20,,En fonctionnement,D,20,1978,Fabrication de produits pharmaceutiques,49.900,t/an
5634,0065.06327,1630,,,2015-09-04,En fonctionnement,,,1630,Emploi ou stockage de lessives de soude ou de potasse caustique,15.000,t
5636,0065.06328,3260,A,,,En fonctionnement,A,,3260,Traitement de surface,106.850,m3
5637,0065.06328,2940,D,b,,En fonctionnement,D,b,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",40.000,kg/j
5638,0065.06328,4130,D,b,,En fonctionnement,D,b,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
5639,0065.06328,2565,E,a,1992-07-23,En fonctionnement,A,2a,2565,Traitement de surface,165110.000,L
5640,0065.06328,2575,D,,1992-07-23,En fonctionnement,D,,2575,Emploi de matières abrasives,80.000,kW
5641,0065.06328,4110,A,a,,En fonctionnement,A,a,4110,Toxicité aiguë catégorie 1,,
5642,0065.06328,2940,D,b,,En fonctionnement,D,b,2940,"Vernis, peinture, colle, ... (application, cuisson, séchage)",900.000,L
5643,0065.06329,4150,D,2,1999-12-15,En fonctionnement,D,2,4150,Toxicité spécifique pour certains organes cibles (STOT),,
5644,0065.06329,4110,D,b,1999-12-15,En fonctionnement,D,b,4110,Toxicité aiguë catégorie 1,,
5645,0065.06329,1434,A,a,1999-12-15,En fonctionnement,A,a,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,100.000,m3/h
5646,0065.06329,1433,A,Aa,1999-12-15,En fonctionnement,A,Aa,1433,LIQUIDES INFLAMMABLES (MELANGE OU EMPLOI),68.000,t
5647,0065.06329,4440,,,1999-12-15,En fonctionnement,,,4440,"Solides comburants catégorie 1, 2 ou 3.",,
5649,0065.06329,4140,D,b,1999-12-15,En fonctionnement,D,b,4140,Toxicité aiguë catégorie 3 pour la voie d'exposition orale,,
5650,0065.06329,4130,D,b,1999-12-15,En fonctionnement,D,b,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
5652,0065.06329,47xx,,,,En fonctionnement,,,47xx,,,
5653,0065.06329,1434,A,2,1999-12-15,En fonctionnement,A,2,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,400.000,
5654,0065.06329,4120,A,a,1999-12-15,En fonctionnement,A,a,4120,Toxicité aiguë catégorie 2,,
5655,0065.06329,2630,D,b,,En fonctionnement,D,b,2630,Supérieure ou égale à 1 t/j mais inférieure ou égale à 50 t/j,20.000,t/j
5656,0065.06329,1185,A,,1999-12-15,En fonctionnement,A,1a,1185,Quantité susceptible d'être présente,0.000,L
5659,0065.06329,4321,,,1999-12-15,En fonctionnement,,,4321,Aérosols extrêmement inflammables ou inflammables,,
5660,0065.06329,4510,D,2,1999-12-15,En fonctionnement,D,2,4510,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
5661,0065.06329,4441,,,1999-12-15,En fonctionnement,,,4441,"Liquides comburants catégorie 1, 2 ou 3.",,
5662,0065.06329,1158,D,B2,1999-12-15,En fonctionnement,D,B2,1158,Diisocyanate de diphénylméthane (MDI),5.000,t
5663,0065.06329,1436,D,2,1999-12-15,En fonctionnement,D,2,1436,Liquides combustibles de point éclair compris entre 60° C et 93° C (stockage ou emploi de),300.000,t
5664,0065.06329,1450,D,2,1999-12-15,En fonctionnement,D,2,1450,Solides inflammables,950.000,kg
5669,0065.06329,4331,A,1,1999-12-15,En fonctionnement,A,1,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
5672,0065.06329,4511,A,1,1999-12-15,En fonctionnement,A,1,4511,Dangereux pour l'environnement aquatique de catégorie chronique 2,,
5680,0065.06329,4130,A,a,1999-12-15,En fonctionnement,A,a,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
5683,0065.06329,1185,D,,1999-12-15,En fonctionnement,D,2a,1185,Quantité susceptible d'être présente,0.000,L
5684,0065.06329,4120,D,b,1999-12-15,En fonctionnement,D,b,4120,Toxicité aiguë catégorie 2,,
5694,0065.06331,47xx,,,,En fonctionnement,,,47xx,,,
5695,0065.06331,2910,E,1,1997-12-01,En fonctionnement,A,A1,2910,Combustion,24.000,MW
5696,0065.06333,3110,A,,1998-05-26,En fonctionnement,A,,3110,Combustion,102.000,MW
5697,0065.06336,3550,A,,,En fonctionnement,A,,3550,stockage temporaire de déchets,316.180,t
5698,0065.06336,47xx,,,,En fonctionnement,,,47xx,,,
5699,0065.06336,2718,A,1,1814-11-23,En fonctionnement,A,1,2718,Déchets dangereux ou contenant des substances ou préparations dangereuses (transit ou tri),316.180,t
5700,0065.06347,4120,D,b,1985-02-04,En fonctionnement,D,b,4120,Toxicité aiguë catégorie 2,,
5701,0065.06347,4510,D,2,,En fonctionnement,D,2,4510,Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1,,
5702,0065.06347,2661,D,c,,En fonctionnement,D,c,2661,"MATIERES PLASTIQUES, CAOUTCHOUC...(EMPLOI OU REEMPLOI)",3.000,t/j
5703,0065.06347,4130,,2,,En fonctionnement,,2,4130,Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation,,
5704,0065.06347,2662,,,,En fonctionnement,,,2662,Stockage de polymères,71.600,m3
5705,0065.06347,1185,D,,,En fonctionnement,D,,1185,Quantité susceptible d'être présente,1266.000,kg
5706,0065.06347,1450,D,2,,En fonctionnement,D,2,1450,Solides inflammables,713.000,kg
5707,0065.06347,4511,,,,En fonctionnement,,,4511,Dangereux pour l’environnement aquatique 2,,
5708,0065.06347,2630,D,b,2019-01-01,En fonctionnement,D,b,2630,Supérieure ou égale à 1 t/j mais inférieure ou égale à 50 t/j,10.000,t/j
5709,0065.06347,1510,D,c,1985-02-04,En fonctionnement,D,3,1510,Entrepot déclaré,43790.000,m3
5710,0065.06347,2925,D,1,1985-02-04,En fonctionnement,D,,2925,Charge d'accumulateurs dégageant de l'hydrogène,100.000,kW
5711,0065.06347,4331,E,2,1985-02-04,En fonctionnement,E,2,4331,Liquides inflammables de catégorie 2 ou catégorie 3,,
5712,0065.06347,1434,D,b,1985-02-04,En fonctionnement,D,b,1434,Liquides inflammables (remplissage ou distribution) autres que 1435,26.600,m3/h
5713,0065.06347,1436,,,,En fonctionnement,,,1436,Liquides combustibles,28.000,t
5714,0065.06347,2640,D,b,2005-11-17,En fonctionnement,D,2b,2640,"Supérieure ou égale à 200 kg/j, mais inférieure à 2 t/j",450.000,kg/j
5715,0065.06347,2910,D,2,1985-02-04,En fonctionnement,D,2,2910,Combustion,12.100,MW
5716,0065.06348,2910,E,1,2004-02-09,En fonctionnement,A,A1,2910,Combustion,47.370,MW
5717,0065.06350,2910,E,1,1976-02-26,En fonctionnement,A,1,2910,Combustion,23.143,MW
5718,0065.06350,47xx,,,,En fonctionnement,,,47xx,,,
5719,0065.06351,2521,E,1,1974-05-07,En fonctionnement,A,1,2521,Centrale d'enrobage à chaud,150000.000,t/an
5720,0065.06351,4801,D,2,,En fonctionnement,D,2,4801,"Houille, coke, lignite, charbon de bois, goudron, asphalte, brais et matières bitumineuses",,
